date,return
1991-06-05 00:00:00+00:00,0.008964999999999999
1991-06-07 00:00:00+00:00,0.019462999999999998
1991-06-10 00:00:00+00:00,0.009961
1991-06-11 00:00:00+00:00,0.010027
1991-06-12 00:00:00+00:00,0.009928
1991-06-13 00:00:00+00:00,0.009911
1991-06-14 00:00:00+00:00,-0.006462
1991-06-17 00:00:00+00:00,0.009957
1991-06-18 00:00:00+00:00,0.010018
1991-06-19 00:00:00+00:00,0.009919
1991-06-20 00:00:00+00:00,0.009977
1991-06-21 00:00:00+00:00,0.009956
1991-06-24 00:00:00+00:00,0.010011
1991-06-25 00:00:00+00:00,0.009987000000000001
1991-06-26 00:00:00+00:00,0.010038
1991-06-27 00:00:00+00:00,0.010086999999999999
1991-06-28 00:00:00+00:00,0.010059
1991-07-01 00:00:00+00:00,-0.005161
1991-07-02 00:00:00+00:00,-0.006503
1991-07-03 00:00:00+00:00,-0.005075
1991-07-04 00:00:00+00:00,0.010054
1991-07-05 00:00:00+00:00,-0.004904
1991-07-08 00:00:00+00:00,-0.005001
1991-07-09 00:00:00+00:00,-0.004731
1991-07-10 00:00:00+00:00,-0.004828
1991-07-11 00:00:00+00:00,-0.004553
1991-07-12 00:00:00+00:00,-0.004348
1991-07-15 00:00:00+00:00,0.00256
1991-07-16 00:00:00+00:00,0.009989
1991-07-17 00:00:00+00:00,0.009965
1991-07-18 00:00:00+00:00,0.010014
1991-07-19 00:00:00+00:00,-0.0034260000000000002
1991-07-22 00:00:00+00:00,0.010022
1991-07-23 00:00:00+00:00,0.009559999999999999
1991-07-24 00:00:00+00:00,0.009255
1991-07-25 00:00:00+00:00,-0.003483
1991-07-26 00:00:00+00:00,0.003353
1991-07-29 00:00:00+00:00,0.0061140000000000005
1991-07-30 00:00:00+00:00,0.006148
1991-07-31 00:00:00+00:00,0.009902
1991-08-01 00:00:00+00:00,0.010014
1991-08-02 00:00:00+00:00,0.009915
1991-08-05 00:00:00+00:00,0.010022
1991-08-06 00:00:00+00:00,0.009922
1991-08-07 00:00:00+00:00,0.010025
1991-08-08 00:00:00+00:00,0.00986
